0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,label
-700.04803,58.141853,-2.5586066,15.606677,4.6350527,3.5391412,-6.117565,-0.3824481,-13.615901,-0.3625715,-1.508356,-0.8844002,-0.019430947,-1.9431808,-1.1695703,2.2041264,-5.30862,-0.8052727,-2.2019832,-0.2128787,-6.491991,-0.11663349,-2.5802991,-4.4166455,-1.6603626,-0.9539895,-4.6195726,-0.077804245,-1.7321767,-0.34443235,-1.482878,-2.7266295,-2.0602062,-2.5263202,-2.4850087,-2.288239,-0.33125415,-2.5409374,-2.7235923,-2.3176184,neutral
-695.1851,58.72073,-4.8757935,19.315145,5.6119614,2.9712064,-4.3853626,-2.4032483,-14.377567,1.2576108,-1.6031673,-0.3616708,-1.0886657,-1.3438928,-1.8727345,1.9826685,-5.9008408,0.2313792,-2.9788997,1.4163178,-6.1801376,-0.30422062,-2.4289923,-4.418494,-0.81476104,-1.5819021,-4.771959,1.1700104,-2.1047919,-0.10762906,-1.1224825,-3.063973,-1.7118424,-2.9297943,-2.5198088,-1.3286664,-0.7473588,-3.6443973,-2.6420186,-2.8815246,neutral
-693.6901,61.060158,-2.849076,16.58725,2.475742,3.9800255,-4.803674,-2.7741346,-12.816862,-1.3138357,-1.6425294,-0.7880761,-0.05647873,-1.7009205,-3.5722902,2.2957795,-6.1905727,-2.0199172,-0.83147067,0.84751123,-5.9624844,-0.5472872,-2.3049047,-3.1189656,-1.4301325,-0.3052398,-4.102889,-0.46674514,-1.9492196,-0.5910992,-1.4518622,-2.5401888,-1.9471494,-2.3866084,-2.2510247,-2.5161977,-0.54867554,-3.3002565,-2.9285083,-2.8335,neutral
-687.24304,58.965412,-0.27530536,16.264652,4.0409164,5.848976,-4.3569236,-4.302236,-12.883506,-0.8712498,-1.0777285,0.6024488,-1.3904735,-0.9739139,-2.7824948,3.2965002,-5.6615033,-0.89766264,-1.0660452,0.20008184,-5.475903,-1.3394004,-1.7360635,-2.396754,-2.2372904,-0.92645544,-4.143278,-0.14959848,-1.981221,0.21101165,-2.1090176,-2.5497577,-2.4528835,-3.2371821,-2.7362702,-1.9837608,-0.40397877,-3.016366,-2.839689,-3.9572291,neutral
-729.57996,65.91619,-0.40742588,18.537952,4.7366405,5.2257648,-6.4563894,-0.71481055,-12.64829,-2.119253,-1.5633701,-0.7400906,-1.6387283,-1.2993119,-2.2045708,3.1792805,-6.8624115,0.4869216,-2.2152781,-0.6931428,-5.321538,-0.8028655,-3.085015,-4.084926,-1.8012388,-1.2252603,-4.6674423,1.1127503,-2.7251627,0.1349779,-1.6094292,-1.7387109,-1.3255612,-3.0478787,-1.1141024,-1.0988085,-1.0921044,-2.4340825,-3.1356542,-3.4389796,calm
-709.6865,70.090385,-1.0689303,14.438872,6.5478773,4.157954,-7.413512,-1.82622,-11.025913,-2.2589307,-0.6329919,-0.16917114,-2.2294605,-1.6352786,-3.2171693,2.5612884,-6.1701427,-1.0867716,-1.6838093,-0.69893825,-5.1550927,-1.3700778,-2.8111882,-4.1564903,-2.1026134,-1.4985523,-4.1796756,-0.035008185,-2.4440582,-0.27395052,-2.8189094,-2.9307573,-2.7351084,-4.1128235,-3.0386553,-1.986854,-1.3496952,-3.8353655,-3.4986913,-4.861014,calm
-699.9165,69.05924,-2.98459,17.488914,2.1857555,6.562433,-4.8850527,-1.3770629,-11.910106,-1.489853,-0.9043213,1.0506335,-1.0451858,-2.2500656,-0.56447554,1.9561428,-7.912457,-1.2261853,-1.2891272,-0.7030398,-6.7232814,-0.8343622,-2.7882233,-2.911331,-2.5287204,-0.981706,-5.371491,0.74384105,-3.5842803,-0.44189727,-2.7380073,-2.2175715,-2.0335286,-3.6762097,-3.6211665,-2.6564772,-1.5188164,-2.979066,-4.079129,-3.5605662,calm
-701.2548,72.46029,-2.6266832,17.355131,4.750651,5.5525894,-3.9800866,-2.5104334,-10.926569,-1.5176866,-1.6994509,0.813231,-0.7265091,-1.4832094,-1.3036147,2.8834257,-6.9538193,-0.5626178,-1.5556725,-0.11484322,-7.0732675,-0.9353792,-2.7697535,-1.7825692,-2.7026107,-0.6118186,-4.2538967,-0.016573079,-3.5553186,-0.2851262,-3.056822,-2.2077425,-1.7209593,-3.1632743,-2.9188337,-2.395059,-0.5909536,-2.9986186,-2.8504744,-3.9948616,calm
-737.1616,74.88167,-0.08566179,18.107159,5.129498,5.868424,-7.591034,0.83355343,-9.865348,-1.151275,-1.1100422,2.8614292,-2.8342927,-1.3606292,-2.0247443,2.361805,-3.5719514,-1.140613,-1.6189792,2.03323,-7.8122826,0.58778065,-3.0783348,-3.7097554,-1.9797415,-0.8637206,-3.0465245,0.6681049,-2.804695,-0.35130113,-2.9205368,-3.553971,-3.08781,-2.8713539,-4.5110664,-0.35590822,-2.0319257,-3.309246,-3.9585876,-4.0883985,calm
-700.8251,71.64476,-4.7149067,16.082224,2.7951207,4.5570836,-8.393302,-2.3456368,-11.432027,-1.5738155,-0.41185537,1.3983011,-3.7397113,-2.2864492,-2.260529,1.0399412,-5.6999497,-0.78033096,-1.9741527,0.74839336,-7.194042,0.710451,-2.6016412,-3.4220653,-2.4859874,-1.5924455,-4.407141,-0.17712632,-2.3359494,-1.1411585,-3.4238176,-3.0683718,-3.584335,-3.6017609,-4.518139,-1.9208233,-1.3226941,-3.0734503,-3.627471,-4.2502184,calm
